T_LR,H_LR,T_BR1,H_BR1,T_BR3,H_BR3,T_BR2,H_BR2,T_O,H_O,datetime
24.300002,46.9,22.1,55.600004,17.6,72.8,20.2,60.600004,4.2,91.5,2026-01-29 09:30:56
24.300002,47.100004,22.1,55.5,17.6,72.8,20.2,60.600004,4.3,91.4,2026-01-29 09:35:57
24.2,47.4,22.0,55.4,17.5,73.1,20.1,60.0,4.4,90.9,2026-01-29 09:40:57
24.300002,47.5,22.0,55.5,17.4,73.6,20.0,60.3,4.4,91.0,2026-01-29 09:45:58
24.4,47.9,21.9,55.7,17.300002,73.9,20.0,60.7,4.5,90.5,2026-01-29 09:50:58
24.5,47.9,21.9,55.9,17.300002,74.200008,20.0,60.8,4.5,90.5,2026-01-29 09:55:58
24.5,47.9,21.9,56.0,17.300002,74.200008,20.0,60.8,4.5,90.2,2026-01-29 10:00:59
24.4,47.9,21.9,56.100004,17.300002,74.5,20.0,61.0,4.6,90.5,2026-01-29 10:05:59
24.300002,47.8,21.800002,56.2,17.300002,74.6,20.0,61.0,4.6,89.9,2026-01-29 10:11:00
24.4,47.5,21.800002,56.3,17.300002,74.6,19.9,61.4,4.9,90.4,2026-01-29 10:16:00
20.6,34.2,21.7,56.5,17.2,74.8,19.800002,61.2,4.9,90.1,2026-01-29 10:21:01
18.9,36.3,21.300002,50.5,16.4,72.5,17.5,55.600004,4.9,89.4,2026-01-29 10:26:01
19.4,35.3,18.7,45.7,14.7,66.4,14.5,54.100004,4.9,89.2,2026-01-29 10:31:01
20.6,38.7,19.9,46.9,15.0,74.4,17.5,55.2,4.9,88.8,2026-01-29 10:36:02
21.800002,38.5,20.300002,46.5,15.5,72.700008,18.6,51.3,4.9,89.4,2026-01-29 10:41:02
22.300002,38.5,20.5,47.600004,15.7,71.6,18.9,51.7,5.0,88.9,2026-01-29 10:46:03
22.7,41.100004,20.800002,48.9,16.300002,69.5,19.1,51.7,5.0,88.7,2026-01-29 10:51:03
23.0,42.0,20.9,49.0,16.5,68.3,19.2,51.9,5.0,88.1,2026-01-29 10:56:04
23.1,42.600004,21.0,49.5,16.6,68.1,19.300002,52.3,5.1,89.1,2026-01-29 11:01:04
21.0,34.3,21.1,50.0,16.800002,68.1,19.4,53.0,5.2,87.4,2026-01-29 11:06:04
22.2,38.9,21.1,50.2,16.7,69.0,19.300002,53.7,5.3,87.9,2026-01-29 11:11:05
22.9,41.0,21.2,50.2,16.7,68.6,19.4,53.2,5.3,87.3,2026-01-29 11:16:05
23.2,42.7,21.2,50.2,16.800002,68.3,19.5,53.3,5.3,87.2,2026-01-29 11:21:06
23.2,42.9,21.300002,50.4,16.9,68.4,19.5,53.8,5.3,87.8,2026-01-29 11:26:06
23.300002,43.8,21.4,50.7,17.0,68.5,19.5,54.5,5.5,87.8,2026-01-29 11:31:06
23.300002,42.0,21.300002,51.0,16.800002,69.0,19.4,55.100004,5.5,86.8,2026-01-29 11:36:07
23.5,43.0,21.4,51.2,16.9,69.200008,19.5,55.100004,5.5,87.6,2026-01-29 11:41:07
23.5,43.5,21.4,51.4,16.9,69.200008,19.5,55.2,5.4,88.5,2026-01-29 11:46:08
23.6,43.600004,21.4,51.5,17.0,69.200008,19.6,55.5,5.4,87.0,2026-01-29 11:51:08
23.6,43.7,21.4,51.8,17.0,69.4,19.6,55.8,5.6,87.3,2026-01-29 11:56:08
23.7,43.8,21.5,51.9,17.0,69.700008,19.6,56.100004,5.6,86.2,2026-01-29 12:01:09
23.7,43.600004,21.5,52.100004,17.0,69.700008,19.6,56.3,5.7,85.9,2026-01-29 12:06:09
23.800002,43.8,21.5,52.3,17.0,69.9,19.6,56.4,5.9,86.7,2026-01-29 12:11:10
23.800002,43.9,21.5,52.5,17.1,69.9,19.6,56.600004,5.7,86.1,2026-01-29 12:16:10
23.9,44.0,21.5,52.600004,17.1,70.200008,19.6,56.8,6.1,84.5,2026-01-29 12:21:11
23.9,44.0,21.5,52.7,17.1,70.3,19.7,57.0,6.1,84.2,2026-01-29 12:26:11
24.0,43.9,21.5,52.9,17.1,70.3,19.7,57.100004,6.5,83.0,2026-01-29 12:31:11
24.0,44.0,21.5,53.0,17.1,70.5,19.7,57.2,7.0,81.1,2026-01-29 12:36:12
24.0,44.100004,21.6,53.0,17.1,70.6,19.7,57.2,7.0,81.8,2026-01-29 12:41:12
24.1,44.2,21.6,53.100004,17.1,70.6,19.800002,57.3,6.7,80.6,2026-01-29 12:46:13
24.1,44.3,21.6,53.2,17.2,70.9,19.800002,57.3,6.8,81.1,2026-01-29 12:51:13
24.1,44.3,21.6,53.4,17.2,70.9,19.800002,57.600004,6.6,82.4,2026-01-29 12:56:13
24.1,44.4,21.6,53.4,17.2,70.9,19.800002,57.600004,6.9,81.3,2026-01-29 13:01:14
24.0,44.7,21.6,53.4,17.2,71.0,19.800002,57.5,7.1,81.1,2026-01-29 13:06:14
24.1,44.600004,21.6,53.5,17.2,71.200008,19.800002,57.7,7.0,80.8,2026-01-29 13:11:15
24.1,44.5,21.6,53.7,17.1,71.4,19.9,57.9,6.9,80.4,2026-01-29 13:16:15
24.2,44.5,21.6,53.8,17.2,71.3,19.9,57.8,6.8,81.2,2026-01-29 13:21:16
24.2,44.5,21.6,53.7,17.2,71.3,19.800002,58.0,6.8,80.9,2026-01-29 13:26:16
24.2,44.8,21.6,53.8,17.2,71.5,19.9,57.8,6.9,81.5,2026-01-29 13:31:16
24.2,44.600004,21.6,53.9,17.2,71.4,19.9,58.0,6.7,81.5,2026-01-29 13:36:17
24.2,44.600004,21.6,53.9,17.2,71.5,19.9,58.0,6.5,81.4,2026-01-29 13:41:17
24.2,44.8,21.6,54.0,17.1,71.8,19.9,58.100004,6.4,81.7,2026-01-29 13:46:18
24.1,43.8,21.6,54.0,17.1,71.8,19.9,58.0,6.5,82.8,2026-01-29 13:51:18
24.1,43.9,21.6,53.9,17.0,72.0,19.9,58.0,6.3,83.7,2026-01-29 13:56:18
24.1,44.100004,21.6,53.8,17.0,72.0,19.9,57.8,6.4,83.5,2026-01-29 14:01:19
24.2,44.100004,21.7,53.8,17.1,72.0,19.9,57.9,6.4,83.6,2026-01-29 14:06:19
24.2,44.3,21.6,53.8,17.1,72.1,19.800002,58.0,6.5,82.5,2026-01-29 14:11:20
24.2,44.3,21.7,53.8,17.1,72.0,19.9,58.100004,6.6,83.1,2026-01-29 14:16:20
24.2,44.4,21.6,53.9,17.0,72.3,19.9,58.2,6.7,81.1,2026-01-29 14:21:21
24.2,44.4,21.6,54.0,17.1,72.4,19.9,58.2,6.6,80.7,2026-01-29 14:26:21
24.2,44.5,21.6,54.0,17.1,72.3,19.9,58.2,6.9,81.5,2026-01-29 14:31:21
24.2,44.5,21.6,54.100004,17.1,72.3,19.9,58.4,6.9,81.6,2026-01-29 14:36:22
24.2,44.7,21.6,54.3,17.1,72.4,19.9,58.7,6.9,80.0,2026-01-29 14:41:22
24.2,44.8,21.6,54.4,17.1,72.5,19.9,58.7,6.9,79.5,2026-01-29 14:46:23
24.2,44.8,21.6,54.4,17.1,72.6,19.9,58.7,6.9,79.4,2026-01-29 14:51:23
24.2,45.2,21.6,54.600004,17.1,72.700008,19.9,58.9,6.9,79.3,2026-01-29 14:56:23
24.2,45.0,21.6,54.600004,17.1,72.9,19.9,59.0,6.9,79.0,2026-01-29 15:01:24
24.2,45.100004,21.6,54.9,17.1,73.0,19.9,59.2,6.8,78.9,2026-01-29 15:06:24
24.2,45.2,21.6,54.9,17.1,73.1,19.9,59.2,6.7,78.5,2026-01-29 15:11:25
24.2,45.2,21.6,55.0,17.1,73.200008,19.9,59.3,6.6,79.7,2026-01-29 15:16:25
24.2,45.7,21.6,55.0,17.1,73.0,19.9,59.3,6.6,80.6,2026-01-29 15:21:26
24.2,45.600004,21.6,55.100004,17.1,73.3,19.9,59.600004,6.5,80.7,2026-01-29 15:26:26
24.2,45.5,21.6,55.2,17.1,73.4,19.9,59.8,6.4,81.3,2026-01-29 15:31:26
24.2,45.7,21.6,55.4,17.1,73.6,19.9,59.9,6.3,81.4,2026-01-29 15:36:27
24.2,45.5,21.6,55.5,17.1,73.6,19.9,59.9,6.2,81.8,2026-01-29 15:41:27
24.2,45.8,21.6,55.5,17.1,73.5,19.9,60.0,6.2,82.7,2026-01-29 15:46:28
24.2,45.7,21.6,55.7,17.1,73.6,19.9,60.0,6.1,82.2,2026-01-29 15:51:28
24.300002,45.8,21.6,55.8,17.1,74.0,19.9,60.4,6.1,82.2,2026-01-29 15:56:28
24.300002,45.8,21.6,56.0,17.1,74.1,19.9,60.5,6.1,82.9,2026-01-29 16:01:29
24.300002,45.7,21.6,55.9,17.1,74.3,19.9,60.5,6.1,83.2,2026-01-29 16:06:29
24.2,46.100004,21.6,56.0,17.1,74.0,19.9,60.4,6.1,83.2,2026-01-29 16:11:30
19.9,35.0,20.9,49.7,16.300002,68.1,18.0,55.8,6.1,82.9,2026-01-29 16:16:30
17.300002,38.4,20.2,45.4,15.1,71.1,14.8,55.600004,6.1,83.5,2026-01-29 16:21:31
19.7,39.7,19.0,45.5,14.3,65.6,14.8,53.9,6.0,83.7,2026-01-29 16:26:31
21.800002,39.7,20.0,48.8,15.400001,71.0,17.7,54.4,6.0,83.9,2026-01-29 16:31:31
22.6,40.4,20.6,48.4,16.4,67.700008,18.9,51.5,5.9,84.4,2026-01-29 16:36:32
22.800002,40.9,20.9,48.5,16.6,67.200008,19.1,51.7,5.9,84.5,2026-01-29 16:41:32
23.0,41.4,21.0,48.9,16.7,67.200008,19.2,52.3,5.5,89.2,2026-01-29 16:46:33
23.1,41.7,21.0,49.4,16.7,67.5,19.300002,52.9,5.4,89.7,2026-01-29 16:51:33
23.2,42.0,21.1,49.8,16.800002,67.700008,19.300002,53.4,5.4,89.5,2026-01-29 16:56:33
23.300002,42.600004,21.1,50.100004,16.800002,68.0,19.4,53.8,5.5,90.8,2026-01-29 17:01:34
23.4,42.4,21.2,50.4,16.800002,68.4,19.4,54.5,5.4,90.0,2026-01-29 17:06:34
23.4,42.7,21.2,50.9,16.9,68.4,19.4,54.8,5.4,90.6,2026-01-29 17:11:35
23.5,42.8,21.300002,51.0,16.9,68.5,19.4,55.0,5.4,90.7,2026-01-29 17:16:35
23.6,43.0,21.300002,51.2,16.9,68.8,19.4,55.4,5.4,90.6,2026-01-29 17:21:36
23.6,43.100004,21.300002,51.4,16.9,69.1,19.4,55.600004,5.4,90.8,2026-01-29 17:26:36
23.7,43.100004,21.300002,51.600004,17.0,69.1,19.5,55.8,5.3,92.1,2026-01-29 17:31:36
23.7,43.3,21.300002,51.9,16.9,69.4,19.5,56.0,5.1,92.7,2026-01-29 17:36:37
23.800002,43.4,21.4,51.9,17.0,69.4,19.5,56.2,5.2,91.0,2026-01-29 17:41:37
23.800002,43.7,21.4,52.100004,17.0,69.4,19.5,56.100004,5.1,92.8,2026-01-29 17:46:38
20.5,34.600004,21.300002,52.3,16.9,69.9,19.4,56.4,5.1,92.4,2026-01-29 17:51:38
21.9,38.100004,21.2,52.2,16.800002,69.8,19.300002,55.3,5.2,91.7,2026-01-29 17:56:39
22.9,39.600004,21.300002,50.4,16.9,68.200008,19.300002,53.600004,5.0,91.9,2026-01-29 18:01:39
23.2,41.100004,21.300002,50.100004,17.0,67.700008,19.4,53.7,5.0,92.2,2026-01-29 18:06:39
23.300002,41.9,20.7,45.7,16.300002,61.7,17.800002,50.5,4.9,92.8,2026-01-29 18:11:40
23.1,37.9,18.5,48.100004,14.1,64.8,15.3,56.0,5.0,93.1,2026-01-29 18:16:40
22.800002,36.9,18.1,48.600004,13.8,66.6,14.7,57.9,4.9,93.2,2026-01-29 18:21:41
22.7,36.4,17.7,48.4,13.5,65.3,14.2,58.5,4.7,93.8,2026-01-29 18:26:41
23.0,38.100004,19.2,51.100004,14.8,70.200008,17.5,56.4,4.7,94.2,2026-01-29 18:31:42
22.5,33.8,19.9,50.5,15.900001,67.5,18.6,53.5,4.8,93.8,2026-01-29 18:36:42
19.300002,35.4,20.1,50.0,15.8,68.0,18.6,53.9,4.6,94.0,2026-01-29 18:41:42
17.9,37.9,20.1,48.4,15.6,69.0,18.6,53.600004,4.7,94.0,2026-01-29 18:46:43
17.4,39.2,20.2,47.9,15.5,69.4,18.5,52.600004,4.6,93.9,2026-01-29 18:51:43
20.5,39.5,20.4,49.0,15.900001,67.3,18.6,51.600004,4.7,93.7,2026-01-29 18:56:44
21.6,39.100004,20.5,48.5,16.300002,66.0,18.800002,51.2,4.6,93.9,2026-01-29 19:01:44
22.0,40.100004,20.6,48.100004,16.4,65.6,18.9,51.3,4.7,94.0,2026-01-29 19:06:45
22.2,40.2,20.800002,48.4,16.4,65.8,18.9,51.9,4.8,93.7,2026-01-29 19:11:45
22.300002,40.7,20.800002,48.8,16.5,66.1,19.0,52.4,4.7,93.0,2026-01-29 19:16:45
22.5,41.2,20.9,49.100004,16.5,66.3,19.0,53.0,4.6,93.7,2026-01-29 19:21:46
22.6,41.9,20.9,49.600004,16.5,66.9,19.0,53.600004,4.5,93.9,2026-01-29 19:26:46
22.7,42.600004,21.0,50.0,16.6,67.1,19.1,54.2,4.4,94.6,2026-01-29 19:31:47
22.800002,42.8,21.0,50.5,16.7,67.6,19.1,54.600004,4.6,94.8,2026-01-29 19:36:47
22.9,42.9,21.1,50.9,16.7,68.0,19.1,55.3,4.6,94.5,2026-01-29 19:41:47
23.0,44.0,21.1,51.3,16.7,68.5,19.2,55.9,4.6,94.7,2026-01-29 19:46:48
23.1,44.0,21.1,51.600004,16.7,68.9,19.300002,56.4,4.6,94.4,2026-01-29 19:51:48
23.2,43.9,21.2,51.8,16.800002,68.5,19.300002,55.8,4.5,94.6,2026-01-29 19:56:49
23.2,44.0,21.1,51.9,16.9,68.0,19.2,55.9,4.5,94.7,2026-01-29 20:01:49
23.300002,43.5,21.2,52.100004,16.7,69.3,19.300002,56.8,4.5,94.7,2026-01-29 20:06:50
23.4,43.7,21.2,52.4,16.800002,69.700008,19.4,57.0,4.4,95.3,2026-01-29 20:11:50
23.4,43.8,21.300002,52.5,16.800002,69.9,19.4,57.0,4.3,96.2,2026-01-29 20:16:51
23.5,43.9,21.300002,52.600004,16.800002,70.1,19.4,57.2,4.3,96.1,2026-01-29 20:21:51
23.5,43.8,21.300002,52.600004,16.800002,70.200008,19.4,57.0,4.2,95.9,2026-01-29 20:26:51
23.5,44.0,21.300002,52.600004,16.800002,70.3,19.4,57.100004,4.0,96.3,2026-01-29 20:31:52
23.7,43.9,21.300002,52.600004,16.800002,70.1,19.4,57.3,4.0,95.7,2026-01-29 20:36:52
23.7,43.8,21.4,52.7,16.9,70.3,19.4,57.3,4.0,95.5,2026-01-29 20:41:53
23.800002,43.8,21.4,52.7,16.9,70.3,19.4,57.4,3.6,95.3,2026-01-29 20:46:53
23.800002,43.7,21.4,52.8,16.9,70.4,19.4,57.600004,3.6,95.6,2026-01-29 20:51:53
23.9,43.7,21.4,52.9,16.9,70.4,19.4,57.7,3.6,95.9,2026-01-29 20:56:54
23.9,43.8,21.4,53.0,16.9,70.5,19.4,57.8,3.1,96.5,2026-01-29 21:01:54
23.9,43.8,21.4,53.100004,16.9,70.6,19.5,57.9,3.1,97.1,2026-01-29 21:06:55
23.9,43.9,21.4,53.100004,16.9,70.9,19.5,57.9,2.9,96.9,2026-01-29 21:11:55
23.9,44.100004,21.4,53.2,16.9,70.8,19.5,57.9,2.7,96.0,2026-01-29 21:16:56
23.9,44.100004,21.4,53.2,16.9,71.0,19.5,58.0,2.9,96.3,2026-01-29 21:21:56
23.9,44.100004,21.4,53.3,16.9,71.1,19.5,58.100004,2.8,95.5,2026-01-29 21:26:57
23.9,44.2,21.4,53.4,17.0,71.0,19.5,58.2,2.4,97.0,2026-01-29 21:31:57
23.9,44.2,21.4,53.4,16.9,71.200008,19.5,58.2,2.5,96.3,2026-01-29 21:36:57
24.0,44.2,21.4,53.5,17.0,71.200008,19.5,58.3,2.5,96.2,2026-01-29 21:41:58
24.0,44.3,21.4,53.600004,16.9,71.5,19.5,58.5,2.4,97.3,2026-01-29 21:46:58
24.0,44.2,21.4,53.600004,16.9,71.5,19.4,58.5,2.3,97.4,2026-01-29 21:51:59
24.0,44.3,21.4,53.600004,17.0,71.5,19.4,58.7,2.5,95.8,2026-01-29 21:56:59
24.0,44.3,21.4,53.7,16.9,71.6,19.4,58.8,2.1,94.2,2026-01-29 22:02:00
24.0,44.4,21.5,53.7,17.0,71.5,19.5,58.8,2.1,96.2,2026-01-29 22:07:00
24.0,44.4,21.5,53.8,17.0,71.6,19.5,58.8,2.3,96.7,2026-01-29 22:12:00
24.0,44.4,21.5,53.8,17.0,71.700008,19.5,58.9,2.4,96.1,2026-01-29 22:17:01
24.1,44.4,21.5,53.9,17.0,71.8,19.4,59.100004,2.3,94.9,2026-01-29 22:22:01
24.1,44.5,21.5,53.9,17.0,71.9,19.5,59.0,2.2,96.2,2026-01-29 22:27:02
24.1,44.5,21.5,54.0,17.0,71.8,19.5,59.0,2.5,95.6,2026-01-29 22:32:02
24.1,44.7,21.5,54.100004,17.0,71.9,19.4,59.2,2.1,96.4,2026-01-29 22:37:02
24.1,44.600004,21.5,54.100004,17.0,71.9,19.4,59.3,2.0,96.9,2026-01-29 22:42:03
24.1,44.7,21.5,54.100004,17.0,72.0,19.4,59.3,2.4,97.1,2026-01-29 22:47:03
24.1,44.600004,21.5,54.2,17.0,72.0,19.4,59.4,2.4,97.1,2026-01-29 22:52:04
24.1,44.600004,21.5,54.3,17.0,72.1,19.5,59.5,1.9,96.6,2026-01-29 22:57:04
24.2,44.7,21.5,54.3,17.1,72.0,19.5,59.600004,2.3,98.1,2026-01-29 23:02:05
24.2,44.8,21.5,54.4,17.1,72.200008,19.4,59.7,2.3,98.0,2026-01-29 23:07:05
24.1,44.8,21.5,54.4,17.1,72.1,19.5,59.5,2.3,98.3,2026-01-29 23:12:05
19.9,32.100004,21.4,53.7,17.0,72.4,19.4,59.600004,2.2,99.2,2026-01-29 23:17:06
17.6,35.7,21.2,50.0,16.6,73.200008,19.1,59.3,2.3,99.6,2026-01-29 23:22:06
20.7,39.8,21.1,46.7,16.300002,66.3,17.2,49.7,2.1,100.0,2026-01-29 23:27:07
22.2,38.0,18.800002,45.3,14.0,64.1,13.0,55.9,1.8,100.0,2026-01-29 23:32:07
22.800002,39.5,20.5,47.2,15.1,72.1,17.5,57.3,1.7,100.0,2026-01-29 23:37:07
23.0,40.4,21.1,48.3,15.900001,70.200008,18.4,55.0,1.5,100.0,2026-01-29 23:42:08
23.2,41.100004,21.300002,48.600004,16.0,69.8,18.7,54.7,1.6,100.0,2026-01-29 23:47:08
23.2,41.600004,21.5,48.9,16.1,69.9,18.7,55.3,1.6,100.0,2026-01-29 23:52:09
23.300002,42.0,21.6,49.0,16.2,70.1,18.800002,55.600004,1.6,100.0,2026-01-29 23:57:09
23.4,42.2,21.7,49.4,16.2,70.3,18.800002,56.3,1.5,100.0,2026-01-30 00:02:09
23.5,42.4,21.7,49.5,16.300002,70.4,18.800002,56.7,1.4,100.0,2026-01-30 00:07:10
23.6,42.7,21.800002,49.8,16.300002,70.700008,18.800002,56.8,1.2,100.0,2026-01-30 00:12:10
23.6,42.9,21.5,50.8,16.4,70.8,18.9,57.4,1.2,100.0,2026-01-30 00:17:11
23.7,43.100004,21.300002,51.4,16.300002,71.0,18.9,57.7,1.2,100.0,2026-01-30 00:22:11
23.7,43.2,21.2,51.8,16.300002,71.200008,18.800002,58.0,0.8,100.0,2026-01-30 00:27:12
23.800002,43.4,21.1,52.2,16.300002,71.3,18.800002,58.100004,0.8,100.0,2026-01-30 00:32:12
23.800002,43.5,21.1,52.4,16.300002,71.4,18.800002,58.600004,0.8,100.0,2026-01-30 00:37:12
23.800002,43.600004,21.0,52.600004,16.300002,71.6,18.800002,58.7,0.9,100.0,2026-01-30 00:42:13
23.800002,43.7,21.0,52.9,16.300002,71.700008,18.800002,58.9,0.7,100.0,2026-01-30 00:47:13
23.9,43.8,21.0,53.100004,16.300002,71.8,18.800002,59.100004,0.9,100.0,2026-01-30 00:52:14
23.9,43.8,20.9,53.3,16.300002,71.9,18.800002,59.2,0.3,100.0,2026-01-30 00:57:14
23.9,43.8,20.9,53.4,16.300002,72.1,18.800002,59.3,0.4,100.0,2026-01-30 01:02:14
24.0,44.0,21.0,53.600004,16.300002,72.200008,18.9,59.4,0.5,100.0,2026-01-30 01:07:15
24.0,44.0,20.9,53.7,16.300002,72.3,18.9,59.600004,0.4,100.0,2026-01-30 01:12:15
24.1,44.100004,20.9,53.9,16.300002,72.4,18.9,59.7,0.5,100.0,2026-01-30 01:17:16
24.1,44.2,20.9,54.0,16.300002,72.6,18.9,60.0,0.0,100.0,2026-01-30 01:22:16
24.1,44.2,20.9,54.100004,16.300002,72.6,18.9,60.0,0.4,100.0,2026-01-30 01:27:17
24.1,44.2,20.9,54.3,16.4,72.700008,18.9,60.0,0.4,100.0,2026-01-30 01:32:17
24.1,44.3,20.9,54.3,16.300002,72.9,18.9,60.4,0.3,100.0,2026-01-30 01:37:17
24.1,44.100004,20.9,54.5,16.4,72.8,18.9,60.2,0.0,100.0,2026-01-30 01:42:18
24.1,44.3,20.9,54.600004,16.4,73.0,18.9,60.5,0.3,100.0,2026-01-30 01:47:18
24.1,44.4,20.9,54.7,16.300002,73.0,18.9,60.600004,-0.0,100.0,2026-01-30 01:52:19
24.1,44.5,20.9,54.8,16.4,73.0,18.9,60.5,0.1,100.0,2026-01-30 01:57:19
24.1,44.5,20.9,54.9,16.4,73.200008,18.9,60.7,0.2,100.0,2026-01-30 02:02:19
24.2,44.600004,20.800002,55.0,16.4,73.200008,18.9,60.8,0.3,100.0,2026-01-30 02:07:20
24.1,44.600004,20.9,55.100004,16.4,73.4,18.800002,61.100004,0.2,100.0,2026-01-30 02:12:20
24.2,44.7,20.9,55.2,16.4,73.3,18.800002,61.100004,-0.2,100.0,2026-01-30 02:17:21
24.2,44.7,20.9,55.2,16.4,73.5,18.800002,60.9,-0.2,100.0,2026-01-30 02:22:21
24.2,44.7,20.800002,55.4,16.4,73.6,18.9,61.4,0.1,100.0,2026-01-30 02:27:22
24.2,44.9,20.800002,55.600004,16.4,73.700008,18.9,61.3,0.0,100.0,2026-01-30 02:32:22
24.2,44.9,20.800002,55.8,16.4,73.8,18.9,61.5,-0.3,100.0,2026-01-30 02:37:22
24.2,44.8,20.800002,55.8,16.300002,73.9,18.9,61.4,0.0,100.0,2026-01-30 02:42:23
24.300002,44.7,20.800002,55.8,16.4,73.9,18.9,61.600004,0.0,100.0,2026-01-30 02:47:23
24.300002,44.8,20.800002,55.9,16.4,74.0,18.9,61.7,-0.0,100.0,2026-01-30 02:52:24
24.300002,44.8,20.800002,55.9,16.4,74.1,18.9,62.0,0.0,100.0,2026-01-30 02:57:24
24.4,44.9,20.800002,56.100004,16.4,74.3,18.9,62.3,0.1,100.0,2026-01-30 03:02:24
24.4,45.0,20.800002,56.3,16.4,74.5,18.9,62.2,0.0,100.0,2026-01-30 03:07:25
23.9,41.0,20.800002,56.4,16.300002,74.700008,18.9,62.4,0.0,100.0,2026-01-30 03:12:25
24.2,44.5,20.800002,56.4,16.4,74.4,18.9,62.0,0.2,100.0,2026-01-30 03:17:26
24.300002,44.9,20.800002,56.4,16.4,74.4,18.9,62.2,0.3,100.0,2026-01-30 03:22:26
24.300002,44.9,20.800002,56.4,16.4,74.6,18.9,62.0,0.5,100.0,2026-01-30 03:27:27
24.300002,45.100004,20.800002,56.5,16.4,74.6,18.9,62.3,0.6,100.0,2026-01-30 03:32:27
24.4,45.100004,20.800002,56.5,16.4,74.700008,18.9,62.2,0.6,100.0,2026-01-30 03:37:27
24.4,45.100004,20.800002,56.5,16.4,74.9,18.9,62.4,0.6,100.0,2026-01-30 03:42:28
24.4,45.100004,20.800002,56.7,16.4,75.0,18.9,62.5,0.7,100.0,2026-01-30 03:47:28
24.4,45.3,20.800002,56.7,16.4,75.0,18.9,62.7,0.9,100.0,2026-01-30 03:52:29
24.5,45.4,20.800002,56.8,16.4,75.0,18.9,62.9,1.0,100.0,2026-01-30 03:57:29
24.4,45.4,20.800002,56.8,16.4,75.1,18.9,62.7,1.0,100.0,2026-01-30 04:02:30
24.5,45.4,20.800002,56.9,16.4,75.1,18.9,62.8,1.1,100.0,2026-01-30 04:07:30
24.5,45.5,20.800002,56.9,16.300002,75.3,18.9,62.8,1.2,100.0,2026-01-30 04:12:30
24.5,45.5,20.800002,57.0,16.4,75.4,18.9,62.8,1.3,100.0,2026-01-30 04:17:31
24.5,45.7,20.800002,57.100004,16.4,75.4,18.9,62.9,1.3,100.0,2026-01-30 04:22:31
24.5,45.600004,20.800002,57.100004,16.4,75.4,18.9,63.0,1.4,100.0,2026-01-30 04:27:32
24.5,45.5,20.800002,57.100004,16.300002,75.6,18.9,63.2,1.3,100.0,2026-01-30 04:32:32
24.5,45.7,20.800002,57.2,16.4,75.5,18.800002,63.2,1.4,100.0,2026-01-30 04:37:32
24.5,45.7,20.9,57.2,16.4,75.6,18.800002,63.2,1.5,100.0,2026-01-30 04:42:33
24.5,45.600004,20.9,57.3,16.4,75.6,18.800002,63.600004,1.5,100.0,2026-01-30 04:47:33
24.6,45.7,21.1,57.2,16.800002,74.700008,19.300002,62.4,1.5,100.0,2026-01-30 04:52:34
24.6,45.7,21.2,57.100004,16.9,74.4,19.4,62.4,1.3,100.0,2026-01-30 04:57:34
24.6,45.8,21.300002,57.100004,17.0,74.3,19.4,62.2,1.3,100.0,2026-01-30 05:02:35
24.6,45.7,21.300002,57.100004,17.0,74.3,19.4,62.2,1.4,100.0,2026-01-30 05:07:35
24.6,45.8,21.4,57.0,17.1,74.200008,19.4,62.100004,1.3,100.0,2026-01-30 05:12:35
